UF	Município	ID	Nº Processo	Vinculada	Termo/Nº Convênio	Ano Termo/Convênio	Programa	Fonte	Esfera	Tipologia	Situação da Obra	% Executado (Informado pelo Municípo	Última Vistoria Instituição	% Executado Empresa	Última Vistoria Empresa	Empresa realizadora da Supervisão	Restrições	Inconformidades
RN	Major Sales	1436	23400004605200747	NÃO	830013	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	99.27%	04/09/2012	90.01%	17/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Ouro Fino	1439	23400002665200725	SIM	830151	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	03/12/2014	50.49%	29/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
MG	Pará de Minas	1442	23400000954200790	NÃO	710115	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	23/04/2015	97.69%	21/01/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
CE	Aracoiaba	1443	23400000928200761	NÃO	830282	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	08/08/2011	92.56%	18/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Paraisópolis	1444	23400000389200761	NÃO	830287	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	38.07%	27/03/2015	25.16%	13/02/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Patos de Minas	1446	23400003543200756	NÃO	830212	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	26/03/2014	93.91%	13/02/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
SP	Barão de Antonina	1449	23400001929200723	NÃO	710158	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	24/01/2014	96.56%	02/04/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
PI	Parnaíba	1450	23400001083200721	NÃO	830248	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	27/12/2013	81.53%	04/09/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
PI	Prata do Piauí	1451	23400005123200712	NÃO	830118	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	24/09/2010	94.27%	08/04/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
SP	Bebedouro	1455	23400000288200790	NÃO	830317	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	26/11/2010	98.90%	12/04/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
BA	Sátiro Dias	1459	23400003171200849	NÃO	700024	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	12/11/2015	90.46%	14/09/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	NÃO
CE	Bela Cruz	1461	23400008243200763	NÃO	710045	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	04/12/2012	92.95%	23/04/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
CE	Camocim	1463	23400002708200772	NÃO	830032	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	25/06/2015	97.53%	18/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
PA	Vitória do Xingu	1464	23400001813200875	NÃO	700030	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	01/03/2016	99.87%	31/05/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
CE	Barbalha	1465	23400001100200721	NÃO	830066	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	16/04/2014	87.01%	22/03/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
SP	Boituva	1470	23400000298200725	NÃO	710061	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	25/06/2012	100.00%	16/06/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
MG	Estrela do Indaiá	1472	23400001913200711	NÃO	710162	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	10/08/2011	100.16%	20/11/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
SC	Herval d'Oeste	1476	23400005260200749	NÃO	830161	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	10/12/2013	99.86%	13/11/2013	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
RS	São Miguel das Missões	1478	23400005532200719	NÃO	710193	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	30/07/2014	99.00%	22/10/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
RS	São Pedro do Sul	1479	23400003941200853	NÃO	700007	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	12/11/2012	98.67%	30/06/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
RS	Sapucaia do Sul	1481	23400002396200705	NÃO	710135	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	93.18%	18/04/2016	86.73%	12/07/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
MG	Capitólio	1482	23400002036200703	NÃO	710036	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	24/09/2014	98.29%	24/12/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
PB	Pedras de Fogo	1486	23400003204200851	NÃO	700113	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	0.00%	03/08/2014	2.32%	26/10/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
BA	Macaúbas	1487	23400001191200885	NÃO	700010	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	24/02/2012	100.00%	09/03/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
RS	Sobradinho	1490	23400000407200712	NÃO	830010	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	27/12/2011	99.55%	27/08/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
RS	Teutônia	1494	23400001297200706	NÃO	700092	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	02/09/2011	99.69%	28/08/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
GO	Serranópolis	1495	23400001309200794	NÃO	710090	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	98.45%	15/02/2011	95.42%	25/08/2015	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
PB	Rio Tinto	1496	23400003324200858	SIM	700017	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Execução	79.47%	28/07/2016	51.01%	24/10/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
ES	São Mateus	1499	23400000192200721	NÃO	830246	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	25/09/2012	100.01%	05/12/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
GO	Simolândia	1501	23400003570200818	NÃO	700061	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	14/08/2012	94.94%	30/05/2016	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
GO	Aparecida do Rio Doce	1502	23400004936200787	NÃO	710049	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	95.03%	29/01/2011	94.06%	25/08/2015	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
SP	Várzea Paulista	1503	23400005070200721	NÃO	710149	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	26/12/2012	95.23%	07/07/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
MG	Formiga	1506	23400000937200752	NÃO	830093	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	25/08/2012	92.25%	16/03/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
RJ	Carmo	1508	23400007227200753	NÃO	710284	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	19/06/2013	93.13%	19/05/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
MG	Taiobeiras	1511	23400003092200757	NÃO	830094	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	29/11/2011	97.06%	18/11/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
SP	Tarumã	1513	23400003177200735	NÃO	830312	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	99.88%	25/04/2015	99.21%	26/07/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
MG	Frutal	1514	23400007231200711	NÃO	830377	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	15/04/2014	98.39%	28/11/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
MG	Gouveia	1515	23400003088200799	SIM	710089	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	95.14%	10/12/2015	58.48%	16/12/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Guaraciama	1516	23400005223200731	NÃO	710277	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	60.88%	11/03/2015	53.13%	04/10/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
PB	Cabedelo	1523	23400002745200781	NÃO	830131	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	99.99%	14/07/2014	90.85%	29/10/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
SE	Siriri	1524	23400003810200876	NÃO	700068	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	05/12/2014	50.69%	17/12/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
SE	Tobias Barreto	1525	23400003222200832	NÃO	700072	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	25/06/2014	92.07%	14/04/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
RS	Três de Maio	1527	23400004714200764	SIM	710300	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	23/03/2015	99.73%	19/07/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
RS	Veranópolis	1530	23400007539200767	NÃO	710142	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	99.98%	22/04/2016	98.94%	20/07/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
PB	São Bento	1532	23400000121200818	NÃO	700039	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	08/09/2011	94.88%	16/12/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
MG	Luminárias	1533	23400001890200744	NÃO	830402	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	11/10/2011	92.60%	19/08/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
GO	Santo Antônio da Barra	1536	23400002173200730	NÃO	830344	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	22/01/2010	99.48%	09/06/2016	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
GO	Guaraíta	1537	23400007822200799	NÃO	710026	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	99.97%	16/02/2016	69.99%	27/04/2016	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
GO	Valparaíso de Goiás	1538	23400000243200715	NÃO	710216	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	17/04/2013	91.88%	25/05/2016	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
GO	Águas Lindas de Goiás	1539	23400003598200847	SIM	700044	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	30/11/2015	63.47%	10/10/2013	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
MG	Claro dos Poções	1540	23400004632200710	NÃO	830425	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	25/06/2014	84.15%	20/09/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
MG	Conceição do Rio Verde	1541	23400001095200756	NÃO	830164	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	43.67%	22/06/2015	48.59%	28/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Conselheiro Pena	1544	23400000350200743	NÃO	710151	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	97.84%	02/07/2014	81.03%	22/02/2012	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
BA	Ibicaraí	1545	23400001922200892	NÃO	700049	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	87.25%	15/07/2015	84.76%	19/03/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
AL	Poço das Trincheiras	1551	23400001921200848	NÃO	700065	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	15/08/2013	99.33%	10/04/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
MG	Ubaí	1552	23400001091200778	NÃO	830292	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	04/06/2014	94.38%	11/12/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Guimarânia	1556	23400005496200785	NÃO	710003	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	27/06/2013	92.24%	31/03/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Ibiá	1557	23400007579200717	NÃO	710059	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	21/03/2014	92.92%	12/02/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
RJ	Resende	1560	23400003561200738	NÃO	830257	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	10/12/2014	94.87%	17/12/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
MG	Bonfinópolis de Minas	1562	23400004453200782	NÃO	700082	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	01/04/2014	88.38%	10/09/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
MG	Santos Dumont	1566	23400000427200785	NÃO	830062	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	56.90%	27/02/2015	52.76%	27/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
ES	Alfredo Chaves	1568	23400001301200728	NÃO	710205	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	18/05/2012	97.67%	02/04/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
ES	Aracruz	1569	23400001203200791	SIM	710161	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Execução	63.67%	08/08/2016	66.92%	17/07/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	NÃO
MG	Bambuí	1570	23400004387200741	SIM	710167	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	98.39%	15/04/2016	54.74%	11/02/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
MG	Bandeira do Sul	1571	23400007518200741	NÃO	830236	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	13/02/2012	92.54%	18/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
AM	Presidente Figueiredo	1572	23400003720200885	NÃO	700038	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	98.32%	30/03/2015	87.37%	30/09/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
PI	Anísio de Abreu	1577	23400002762200718	NÃO	700098	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Execução	92.41%	24/08/2016	44.68%	04/12/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
CE	Mauriti	1578	23400003229200854	NÃO	700063	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	50.21%	25/06/2014	43.95%	20/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
CE	Nova Russas	1579	23400007782200785	NÃO	710148	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	40.38%	05/08/2014	31.75%	05/12/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
CE	Palmácia	1581	23400001433200750	NÃO	830452	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	26.83%	06/06/2012	7.49%	04/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
RO	Ouro Preto do Oeste	1583	23400007527200732	NÃO	710262	2008	PROINFÂNCIA	CONVENIO	Municipal	MI - Escola de Educação Infantil Tipo B	Planejamento pelo proponente	0.00%	01/09/2013	0.00%	19/12/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
RO	Vilhena	1584	23400007233200719	SIM	710165	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	30/09/2014	99.99%	26/09/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
